Date,Weight (lb),Year,Day of Year
2025-12-19T18:02:56.000,158.8208248,2025,353
2025-12-18T17:03:14.000,159.46677846000000,2025,352
2025-12-17T19:32:43.000,160.5183822,2025,351
2025-12-16T19:36:50.000,162.48710786000000,2025,350
2025-12-15T22:50:31.000,160.45224360000000,2025,349
2025-12-12T14:08:40.000,159.44252764000000,2025,346
2025-12-10T14:24:28.000,158.07566324000000,2025,344
