date,value
2024-08-09,1200.71
2024-08-08,1673.32
2024-08-07,1673.32
2024-08-06,1673.32
2024-08-05,1673.32
2024-08-04,1673.32
2024-08-03,1673.32
2024-08-02,1673.32
2024-08-01,1673.32
2024-07-31,1678.32
2024-07-30,1683.49
2024-07-29,1683.49
2024-07-28,1684.5
2024-07-27,1684.5
2024-07-26,1570.96
2024-07-25,1684.5
2024-07-24,1684.5
2024-07-23,1573.74
2024-07-22,1684.5
2024-07-21,1643.27
2024-07-20,1684.5
2024-07-19,1667.98
2024-07-18,1667.98
2024-07-17,1286.66
2024-07-16,1667.98
2024-07-15,1616.94
2024-07-14,1667.98
2024-07-13,1667.98
2024-07-12,1625.18
2024-07-11,1667.98
2024-07-10,1667.98
2024-07-09,1667.98
2024-07-08,1667.98
2024-07-07,1667.98
2024-07-06,1667.98
2024-07-05,1667.98
2024-07-04,1505.46
2024-07-03,1667.98
2024-07-02,1667.98
2024-07-01,1433.48
2024-06-30,1415.06
2024-06-29,1640.27
2024-06-28,1640.27
2024-06-27,1575
2024-06-26,1230.99
2024-06-25,1640.27
2024-06-24,1640.27
2024-06-23,1640.27
2024-06-22,1640.27
2024-06-21,1610.37
2024-06-20,1640.27
2024-06-19,1640.27
2024-06-18,1640.27
2024-06-17,1640.27
2024-06-16,1640.27
2024-06-15,1640.27
2024-06-14,1640.27
2024-06-13,1640.27
2024-06-12,1640.27
2024-06-11,1529.59
2024-06-10,1617.75
2024-06-09,1535.74
2024-06-08,1640.27
2024-06-07,1476.54
2024-06-06,1603.84
2024-06-05,1640.27
2024-06-04,1640.27
2024-06-03,1568.67
2024-06-02,1576.28
2024-06-01,1640.27
2024-05-31,1640.27
2024-05-30,1640.27
2024-05-29,1640.27
2024-05-28,1640.27
2024-05-27,1640.27
2024-05-26,1359.03
2024-05-25,1523.77
2024-05-24,1640.27
2024-05-23,1640.27
2024-05-22,1640.27
2024-05-21,1629.78
2024-05-20,1629.78
2024-05-19,1629.78
2024-05-18,1629.78
2024-05-17,1629.78
2024-05-16,1629.78
2024-05-15,1629.78
2024-05-14,1628.56
2024-05-13,1628.56
2024-05-12,1628.56
2024-05-11,1628.56
2024-05-10,1628.56
2024-05-09,1628.56
2024-05-08,1628.56
2024-05-07,1628.56
2024-05-06,1628.56
2024-05-05,1628.56
2024-05-04,1611.3
2024-05-03,1611.3
2024-05-02,1611.3
2024-05-01,1611.3
2024-04-30,1614.59
2024-04-29,1555.3
2024-04-28,1524.6
2024-04-27,1528.94
2024-04-26,1601.04
2024-04-25,1615.44
2024-04-24,1615.44
2024-04-23,1615.44
2024-04-22,1615.44
2024-04-21,1615.44
2024-04-20,1615.44
2024-04-19,1615.44
2024-04-18,1615.44
2024-04-17,1615.44
2024-04-16,1620.3
2024-04-15,1620.3
2024-04-14,1620.3
2024-04-13,1620.3
2024-04-12,1620.3
2024-04-11,1620.3
2024-04-10,1620.3
2024-04-09,1622.37
2024-04-08,1622.37
2024-04-07,1622.37
2024-04-06,1622.37
2024-04-05,1622.37
2024-04-04,1622.37
2024-04-03,1634.62
2024-04-02,1634.62
2024-04-01,1634.62
2024-03-31,1651.39
2024-03-30,1651.39
2024-03-29,1651.39
2024-03-28,1384.97
2024-03-27,1651.39
2024-03-26,1651.39
2024-03-25,1651.39
2024-03-24,1651.39
2024-03-23,1651.39
2024-03-22,1651.39
2024-03-21,1651.39
2024-03-20,1651.39
2024-03-19,1651.39
2024-03-18,1651.39
2024-03-17,1651.39
2024-03-16,1651.39
2024-03-15,1651.39
2024-03-14,1651.39
2024-03-13,1651.39
2024-03-12,1651.39
2024-03-11,1651.39
