mac,serial,latitude,longitude,battery_level,last_used_date,manual_geoloc,timezone,association_date
00:24:e4:b4:7b:78,SN-00:24:e4:b4:7b:78,34.0288,-118.472,81,1741045219,,America/Los_Angeles,2021-01-04T00:14:47+01:00
00:24:e4:d0:33:ec,SN-00:24:e4:d0:33:ec,33.7464,-117.86,97,1743361776,,America/Los_Angeles,2021-12-21T23:02:37+01:00
